,molecule,size,box_length_avg,box_length_std
0,pentane,512,4.663553009415483,0.015801656704386404
1,pentane,1024,5.877987834548273,0.014790734871052627
2,pentane,2048,7.404281903120043,0.012849168248983732
3,hexane,512,4.850662950067689,0.012565213541743808
4,hexane,1024,6.110825004904412,0.012310694995424868
5,hexane,2048,7.700105406263321,0.010729116805853358
6,heptane,512,5.030528420838333,0.011451454795595109
7,heptane,1024,6.338010389758733,0.011069014472523741
8,heptane,2048,7.984255277224095,0.00942725024105056
9,octane,512,5.199023590480298,0.010520396831006557
10,octane,1024,6.55286421164308,0.009814577548166316
11,octane,2048,8.254996534634405,0.00840473682278882
12,decane,512,5.517825454507132,0.009424937860719613
13,decane,1024,6.952392988264151,0.00829785691905371
14,decane,2048,8.75899906462956,0.007432192165180798
15,pentadecane,512,6.191277266336389,0.007787768831537455
16,pentadecane,1024,7.801899153477828,0.006627900563543301
17,pentadecane,2048,9.829192993710834,0.0061438713561661135
18,water,512,2.46775255007217,0.009288290989503043
19,water,1024,3.1090478483762465,0.008205732936906998
20,water,2048,3.9171448377327347,0.00728658182454503
