molecule,U_gas (kJ/mol),U_liquid (kJ/mol),H_vap (kJ/mol),H_vap_std (kJ/mol),H_vap_SE (kJ/mol)
pentane,134.48265144311375,119.47449295345099,17.50235848966276,14.46363589467395,0.6509271896088515
hexane,165.60699464071857,143.5821832107843,24.51901142993426,15.989032597714653,0.7217836824382162
heptane,190.67237624151693,166.8771443014706,26.289431940046335,17.22150921217831,0.7734256068349117
octane,222.05649314371257,191.33438572303922,33.21630742067335,19.056132080609597,0.8567699175050497
decane,276.433041259481,238.34165134803922,40.58558991144178,20.59392282579373,0.924765467049338
pentadecane,424.4659266666667,353.2992910539216,73.6608356127451,25.52721534003769,1.1458490806585773
