,molecule,size,density_avg,density_std
0,pentane,512,0.6051241042346855,0.006138339172708654
1,pentane,1024,0.6041924808505018,0.004264144689870377
2,pentane,2048,0.6046765097422868,0.00310577167143015
3,hexane,512,0.642010825623792,0.005414318247700172
4,hexane,1024,0.6421977841501338,0.0037965700291096045
5,hexane,2048,0.6423621238763332,0.0026248593040046164
6,heptane,512,0.6695582070036851,0.004509389761765531
7,heptane,1024,0.6698017898307521,0.0033207837949155686
8,heptane,2048,0.6695852602057982,0.0023568440238751743
9,octane,512,0.6906977845151469,0.004276970960057963
10,octane,1024,0.6905784533133186,0.003145203840257778
11,octane,2048,0.690669721786113,0.002253657565073338
12,decane,512,0.7709885842424556,0.004006702601712625
13,decane,1024,0.7707487077022528,0.002915187768516164
14,decane,2048,0.7708372952596877,0.001989356641554935
15,pentadecane,512,0.7610617950498074,0.0029243605025510906
16,pentadecane,1024,0.7614194211504115,0.0021220303669128525
17,pentadecane,2048,0.761130039831706,0.0014847904891003845
18,water,512,1.0193470721612294,0.011662367137769001
19,water,1024,1.0187625613892455,0.008425542860000105
20,water,2048,1.019549317906005,0.005793693337911994
