,molecule,size,box_length_avg,box_length_std
0,pentane,512,4.66373781920217,0.015055173908806257
1,pentane,1024,5.875292857977423,0.01293761514150574
2,pentane,2048,7.403684592178934,0.011204445288898987
3,hexane,512,4.848759156589914,0.012813457667012008
4,hexane,1024,6.110931005440302,0.01163590906959276
5,hexane,2048,7.699477402972381,0.010561717821505976
6,heptane,512,5.031813256025368,0.01194286383308136
7,heptane,1024,6.336708801399547,0.010536246477725995
8,heptane,2048,7.98372269909641,0.009351795423529933
9,octane,512,5.20148057709143,0.010582980010675262
10,octane,1024,6.5529592295027115,0.009536058670682416
11,octane,2048,8.256388345451501,0.008731147313574081
12,decane,512,5.518142654323046,0.009108894325099749
13,decane,1024,6.951734602877117,0.008465337860354118
14,decane,2048,8.75826652991911,0.007408100658809402
15,pentadecane,512,6.19561763632016,0.007695609727062491
16,pentadecane,1024,7.800992985597241,0.007013947727889362
17,pentadecane,2048,9.829315833353256,0.005980670119934668
18,water,512,2.467514796788119,0.009228445299379648
19,water,1024,3.109486758595227,0.00828262106451653
20,water,2048,3.9174751635991454,0.0070933513582065
